,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_66,1.89764839,2.51136891,2.51136891,1.29641374,1.29641374,1.01827174,1.50300025,1.29050005,1.23876122,1.83160143,2.0494507,1.72972025,41.03978467,15.51711604,7.45832385,3.48593635,11.33651511,2.67647621,3.51754497,4.3472448,2.77384559,2.88837196,4.75167538,6.112049,2.71780625,4.31365973,23.6652273,3.30365106,54.51109914,45.59319568,51.77622695,52.25942789,51.7025739,6.28658802,2.1304789,50.26185089,48.56965995,2.51605581,2.56772401,2.35928292,2.5680507,2.79719347,3.06664554,2.74409703,1.77081169,2.20313008,2.47752941,1.49363297,2.90124101,4.97199804,2.51605581,3.01224287,2.86577372,3.01224287,4.00006282,3.08461984,5.1152493,3.3424149,1.87249996,7.38295598,2.63978015,2.64214902,16.2159075,49.42653266,11.90559884,2.77736955,1.76112375,2.47900075,6.21082911,2.18305912,2.91596415,8.79992114,3.048875,2.72673096,4.51133366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_65,46.49053097,6.93350767,9.35947783,3.57048672,4.68868863,4.2643549,4.1942639,4.75458725,4.46446473,2.5432333,4.4133845,4.93595081,4.08580095,2.58750842,3.97516069,46.7583319,54.58247381,52.26589804,4.66821502,50.47759921,50.5017329,3.17374831,7.14290076,4.69754479,5.48027744,3.57470057,49.22599495,42.6333245,50.36787825,50.81732395,5.05508569,5.20850579,5.12252574,4.48865354,55.92222757,5.96875906,3.22613815,2.87404424,2.71318638,2.85787173,3.4090527,4.57230954,6.00582076,3.75929615,50.31070028,49.97003016,53.57332859,7.06317977,46.86483201,51.69582881,2.96959852,3.89196006,4.00282285,4.04978892,50.47375885,6.59684309,7.15617093,53.79682567,3.20132096,5.17581942,13.75724966,53.56648059,6.06112974,52.22583616,5.86958687,3.3385015,4.29144053,48.69423668,9.24561182,51.67680166,2.77454104,3.48963828,43.29350547,3.20509274,47.73245862,3.33973476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_64,52.30491122,53.70253267,52.80040326,3.80750325,5.03804854,4.3406436,4.23840651,5.32946215,45.60295714,2.47065182,4.31201838,4.94517341,4.04979312,3.76161786,4.30112966,52.56714164,55.14133672,51.64895618,50.65729581,51.6523269,8.10118367,3.51620414,7.37174067,51.33734632,51.87272965,51.9572443,48.3249722,7.65177593,50.96347718,53.6052532,6.47752318,6.62753512,6.50929733,4.53739183,55.64125683,5.73351274,3.06357288,3.47841336,3.36706089,3.42310649,4.14471983,72.89408976,50.97991452,4.33303471,51.34879483,50.91981477,3.4920221,48.94288325,8.11117734,51.63391251,3.61312591,4.41487986,4.16711345,4.24776828,51.88645438,49.06812462,51.37671019,53.76096506,3.9089967,4.54355346,48.07835932,54.41876202,5.25129662,54.88322566,5.92321206,4.289842,7.09840016,48.99007293,27.06684301,51.59989198,2.47190002,3.50425234,46.25556596,3.36776828,52.2613881,2.65198946,0.2756852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_63,51.8377639,5.80798377,7.02552087,3.93698747,4.44186196,3.97521853,3.90378987,4.472934,3.07650075,4.08574853,7.61583808,8.90907564,3.9843893,3.55916395,3.61585548,41.20504014,15.98519505,36.19026119,6.75617366,7.16093242,51.68488436,4.35673023,11.46001321,47.16047021,3.04742012,49.92794898,10.38584748,32.8121362,50.8640247,44.00705286,7.71620843,7.93651795,7.72715524,4.56523573,5.44136489,5.51679748,3.76542257,45.20542475,45.02869067,47.83919238,42.47155495,44.67672605,45.01942499,42.33373883,20.78249401,42.88641739,47.33985733,5.17589316,48.98163555,47.76717805,44.28174361,27.42941557,24.8807731,27.42941557,48.07772948,5.15762625,39.51026675,30.231558,3.29333509,3.90573799,41.02882256,49.60070333,4.22785775,46.86897614,5.01841508,3.06147829,2.89159489,31.64724735,30.96321448,43.8143869,1.92982521,2.22699901,47.08279868,4.3815254,51.69335079,0.91424167,0.91450031,0.94201801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_62,52.06789806,5.50300277,6.61736954,3.83273739,4.14000131,3.877869,3.76455163,4.17785252,3.29179053,4.04034124,7.80249252,10.82544885,4.50845579,34.40046182,4.00225708,42.78959725,13.59124471,6.52841993,4.63717002,3.70386049,50.71559449,3.63801038,4.38049669,47.60231565,2.9498002,50.35977355,11.68880098,40.62003355,50.41592408,42.22032118,8.20567333,8.41222007,8.20416121,4.27946498,5.64806103,4.84775681,3.94936807,45.0629455,44.98763429,56.19188767,44.38913934,45.81475401,46.12705346,44.31696646,21.79533451,42.95058986,3.40584529,5.19919055,48.75843568,48.35493913,45.0629455,4.49649051,4.66182357,4.49649051,45.60326362,5.83095502,40.0661637,5.8602226,2.79860473,4.70228244,4.47641116,48.92101293,4.63075158,46.69818531,3.97058231,3.80022249,49.2944237,29.76345682,17.76689491,43.82447469,3.09839064,1.76897913,46.50683259,4.45856345,52.02863419,1.51219092,1.51073305,1.48883463,0.4619995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_61,11.36533601,4.06519553,4.57119986,4.93765199,3.57312523,3.34521604,3.30728262,3.51525197,2.74113216,3.65823255,4.79463335,5.23017836,4.40493726,3.55916395,4.17873028,8.6720683,7.60612311,43.58311274,8.47185074,27.36845822,38.97839793,5.00277602,5.40190761,10.63135935,3.87544389,16.93032883,7.72109293,6.93604432,47.09299858,10.31267648,6.31637348,6.49544419,6.35802383,4.61491757,5.87125322,5.51679748,3.03041127,37.68181199,37.33627768,37.89903898,5.13647001,6.77900499,7.48846517,5.63767226,7.32036107,9.06225736,48.00935003,8.52468846,51.41041243,14.69698779,36.14074496,4.51016514,4.35882646,4.51016514,16.36417196,42.6162285,10.58256918,30.231558,3.71093804,3.28292704,6.53168422,49.60070333,4.18906469,9.11799894,5.01841508,3.688486,3.09123932,18.73485502,7.12542993,39.68486897,2.4792494,2.91426921,46.87390554,4.03821209,14.64160298,1.25552992,0.95281599,1.11860851,0.19822833,0.50708513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_60,37.51527431,3.58325992,4.03706874,2.20098472,2.69497072,2.5557544,2.52842386,2.60551616,1.80755831,2.95801092,4.20965199,4.63150946,3.99060394,6.50387537,4.05303295,20.87948279,14.67877037,45.24769319,6.72266703,31.50262073,25.70491207,3.37994923,7.74575051,16.28356024,3.95895674,38.22017862,8.65390906,26.51673288,46.87579534,9.89740863,8.21848355,8.41661495,8.21674274,4.51955599,4.51601974,5.33009271,3.60740137,4.32650303,4.38490753,3.38814556,5.9032508,12.05220543,40.4332511,6.40144781,6.40166689,28.64294342,4.58055403,3.44631938,48.25706983,45.47805015,4.47966146,3.070421,2.92693975,3.070421,45.81809261,43.68310541,17.36011012,9.85102444,3.02357287,3.81034502,5.70341677,49.33592851,5.07692651,25.5071957,5.01841508,2.91608247,2.25663908,4.91519595,11.15504454,4.59983098,3.12898459,2.53043575,46.94847928,3.46247827,42.06292546,1.39856296,1.05848415,1.22328702,0.33696392,0.43882808,0.24747377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_59,6.09616233,4.87747893,5.53107696,2.67048785,2.67048785,2.99766937,2.64593776,3.13169513,3.94954195,2.51393915,3.79428799,3.35190769,10.74029183,42.57678894,6.44454753,2.71232749,46.09334509,4.79753568,19.36014652,25.28581827,4.54123757,4.43196897,1.76738948,4.0632703,4.11062251,4.25827059,43.57166459,4.04108918,51.84845408,34.58908131,8.67290331,8.7184231,8.49302167,3.35274032,3.84578446,8.84331492,5.31358656,3.99711576,4.07736239,4.26223442,4.31499832,4.13223294,3.80806594,4.34628462,11.54769712,10.38794056,44.81034404,5.2526008,3.31882181,49.34655685,3.93168073,2.41050398,2.36396773,2.3880902,9.45386928,3.89746891,8.72831065,43.55858994,5.51854181,5.43187542,7.35479515,47.77308636,5.73511848,4.61518599,39.51179028,3.21256577,3.08568755,4.95257847,1.95475347,4.50432456,9.79490399,3.57448426,4.03722025,3.68693631,39.85985557,3.07995206,2.70770084,2.8112449,3.83433948,4.15761167,3.97521055,3.74553462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_58,4.29859667,2.38909744,2.3662978,2.40278673,2.9215623,2.77823056,2.85440943,2.87583441,2.68590537,2.56411638,2.59437516,2.83944128,4.733303,1.94456554,45.16855249,6.80552153,4.66333565,4.0125192,2.98018859,2.88336,3.30071851,9.25795419,54.11709549,4.06070304,2.97438209,3.56305003,42.83430281,2.85015242,5.57937619,5.53509103,6.69891108,7.1046245,6.76768771,14.26428974,52.49308263,10.38391783,12.54900225,3.78550556,3.83705364,3.96074363,4.26918669,3.75658201,4.00475033,4.46237953,6.44483505,3.34901963,6.26588992,2.16150425,31.94610921,6.16984565,3.7010943,2.87091797,2.72871026,2.87317391,9.13187002,2.41538598,6.28186776,5.13778469,9.55959035,4.69870879,7.74575989,8.45716457,46.51254038,13.9809916,4.2163272,4.15256232,3.88332814,3.84313065,3.47271684,3.90498934,41.6479817,48.48338323,3.70680732,3.93328646,3.87308861,32.3456947,2.17663644,2.41277481,2.76876082,4.22025602,2.4925012,3.16335767,15.63601685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_57,2.38514285,1.64135801,2.29036601,1.57127272,1.70861892,1.62394285,2.033241,1.76165544,2.18739377,2.1000591,2.97142764,3.37195901,7.52384446,6.27075683,47.45508795,52.79006224,51.29503364,1.44363115,0.65236594,2.36283789,1.20996735,4.83680579,3.93885583,16.63444563,4.5027847,39.23760931,5.89501494,5.37667823,55.36196071,4.64837939,52.38628597,52.69144634,52.33321617,51.00514273,3.00373252,49.47007262,51.71017234,3.54754306,4.15598044,3.10329576,3.79539949,5.01659511,4.17817099,3.72502916,5.15104392,6.25087264,1.29542361,2.14013355,3.05346554,5.142283,3.54754306,2.21297391,2.27526338,2.21297391,3.72141836,4.94065003,5.24828707,2.51123367,5.2739322,47.45970598,3.10974656,2.42998828,49.48081592,3.76232158,42.45465727,3.54361287,7.38196831,3.25343685,3.7113751,3.40665327,48.17964119,47.95259503,2.28312351,5.8188192,4.35901836,1.8493282,51.35997967,50.36399222,41.54966692,4.53535524,47.79565571,6.77497764,47.60486758,46.57362091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_56,51.2180725,29.88547961,22.71501009,46.84929787,37.73429544,36.48246967,36.96181439,43.06112695,5.45150586,5.12314857,34.53558112,36.85203412,7.90367929,3.07627511,52.18357178,53.99502041,53.41262351,3.73672632,7.09058649,3.45865562,13.00900005,6.63552105,4.09278176,4.59547928,50.79113899,43.14601915,18.6085661,39.5810515,94.56111395,3.02409977,7.34776905,7.41378658,7.34882095,4.735781,51.73894512,4.73592272,1.18361474,36.41421157,36.41162551,31.0898979,32.95440942,37.31914373,38.78159703,32.3261307,33.69557791,28.65793682,23.48042541,42.88154963,48.28791179,48.96921432,34.79309013,40.25724766,41.39043,40.71353719,44.64575704,51.49395078,16.87457831,5.79364026,6.93407655,3.9259921,21.94116016,7.77240597,4.73308831,54.69408789,2.98123617,6.67694335,46.63361482,41.03173811,6.53635693,45.56707802,5.04518381,5.17783503,39.95303821,5.75118691,5.25794463,46.07888136,2.66274295,2.20299046,2.7989378,2.77010459,2.91620646,3.44473507,6.06119108,2.40258658,43.79360577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_55,51.60838835,31.20288721,23.56929784,47.17075762,39.03543813,38.01627023,38.40198738,43.63033964,37.47954615,32.51410668,31.41579656,34.39026338,7.23282203,2.48001647,12.62253074,54.01792224,53.90244699,7.27282733,13.86666332,3.84118547,18.14140942,7.4719277,57.94492213,3.36059916,51.01183524,3.982883,9.99559221,27.49150256,47.46571266,4.52799415,7.20535741,7.2759357,7.20839898,5.01362671,52.10809235,4.35562674,1.41346352,34.99654447,35.0077489,33.47762746,31.25209375,37.13240135,38.14550464,29.71120239,33.11845783,27.66840718,21.10462981,44.25890637,47.05722518,49.26853813,32.85827756,42.12124155,42.48089334,42.48089334,46.9909551,52.29671622,15.00367744,39.92801915,7.02026656,3.93219912,26.83001389,43.78127244,4.39719035,54.9923822,2.97171072,6.41744602,46.63361482,41.92102328,13.20499031,46.27743546,4.86532199,4.87256409,42.3448583,3.9100262,52.04601613,46.01405094,2.10698205,1.74784093,2.48727307,3.03240555,2.71095961,3.39392197,4.69246264,2.13959977,44.88110207,0.2118839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_54,51.17248571,31.20288721,23.56929784,46.84929787,37.73429544,36.48246967,36.96181439,43.06112695,5.45150586,4.94415026,34.53558112,36.85203412,7.7620077,3.07627511,52.29873755,54.01792224,53.46158046,3.53394729,6.79185339,3.31252011,13.36521532,6.76524431,4.09278176,4.7405649,50.97371591,46.22621273,36.4647797,39.51925553,9.17762864,3.29607629,7.16618808,7.23440857,7.16964675,4.13058236,52.10809235,4.35562674,1.3099676,36.86433815,36.85840568,31.7518007,33.8062382,38.55090283,39.33023257,33.16841092,34.44362212,29.44193611,25.22724921,43.40989794,48.20801574,49.07669822,35.7770542,40.30216781,41.43738912,40.75588127,44.80414635,51.7732275,17.3593274,33.18391389,6.33812146,3.83740462,22.59721556,8.72748664,4.61211606,54.9923822,2.97171072,6.66095955,46.63361482,41.06140048,6.53635693,45.73170871,4.64266003,5.12255115,39.34705264,5.72157226,5.15451381,46.24415522,2.25819759,1.83146295,2.64964292,2.74046761,2.79759293,3.38550456,5.90647637,2.3454294,43.8338588,0.13978181,0.12187073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_53,51.6940859,31.20288721,23.56929784,46.84929787,37.73429544,36.48246967,36.96181439,43.06112695,5.45150586,4.52205298,34.53558112,36.85203412,5.1095828,3.07627511,15.71907987,54.01792224,53.22251122,3.21534326,7.01858796,3.02101342,15.66273399,6.65318093,4.09278176,5.01821944,50.36532455,43.67862616,12.89009624,39.51925553,46.35610585,3.57528563,7.00173553,7.06863836,7.00730821,3.98030035,52.10809235,4.35562674,0.88063595,36.40224054,36.39979603,30.90284968,32.88897752,37.94630637,38.79700324,32.24955928,32.60528928,29.44193611,25.22724921,44.45917399,47.71583455,49.61038173,34.74905902,39.16705515,40.24914284,39.5554669,44.79802209,51.87862218,16.93378597,33.18391389,8.6190812,4.78681159,22.59721556,8.72748664,4.61211606,54.9923822,2.97171072,6.27500392,46.63361482,41.06140048,6.53635693,45.73170871,4.86532199,4.62111853,37.69775596,4.41455538,5.52971587,46.24415522,2.16042099,2.01261133,2.47423019,2.4649384,2.44267291,2.86574507,4.495267,5.27824735,43.8338588,0.3520289,0.2591518,0.33919477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_52,51.5624163,29.53533164,22.59960478,46.98431091,38.08295959,36.92193166,37.36051189,43.22045913,36.33471863,30.60401479,29.89494342,32.97157344,6.89837561,2.48001647,12.47495663,54.01792224,53.93588979,10.89167985,13.86666332,4.25277826,18.14140942,7.4719277,4.16755532,2.61202556,51.07119407,2.8770242,10.80695809,25.23950976,47.46571266,4.98598844,7.30004365,7.2759357,7.20712562,5.03492913,52.10809235,4.35562674,1.35109187,33.63339899,33.66166418,31.88652899,30.10443361,36.30299513,37.42151106,28.58632847,32.12990768,26.64669001,20.10180856,44.03964501,47.05722518,49.26853813,31.23488695,41.45135639,41.84975339,41.84975339,46.86443125,52.21614665,15.85643391,39.01987345,7.76854268,3.96457165,26.83001389,43.78127244,3.64032441,55.01649939,2.97171072,6.41744602,46.63361482,41.45072951,13.20499031,46.09291411,5.30606631,5.19382899,42.3448583,3.9100262,51.41392773,45.50550044,2.28982058,1.87722145,2.97750885,3.27494849,2.71497521,3.39587758,4.91038421,2.24363994,44.56373152,0.24785931,0.09356098,0.18057973,0.2742061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_51,49.1904151,46.18326267,41.87471648,46.35652401,46.35652401,46.086145,46.18698451,47.87914067,44.20897316,?,45.12236026,45.68011242,4.6595736,6.02567055,8.32476378,49.89749874,54.99509156,4.3968023,10.7708251,3.88809492,13.65246246,7.32154221,46.38358359,6.81815864,42.17779963,42.46598488,43.04214347,44.92584263,48.14655924,2.82651376,9.44689582,9.44689582,9.44689582,3.60578471,51.85218896,4.68011128,0.71012935,32.67383997,32.71503107,23.86218485,44.12364506,45.33142675,45.46899536,43.92162348,44.37473179,45.37496508,7.6056768,42.37904457,48.62004206,53.3357434,30.18824619,46.72245337,47.06601763,46.87828191,46.4559874,51.56144526,45.45792578,46.72036598,6.26966943,4.11918172,39.49722918,37.83974596,8.14107758,53.32304229,2.97171072,4.92956899,46.71543799,43.08497572,40.96193393,46.7638363,4.03907288,4.71284541,44.96988978,5.65737807,4.31637221,43.01501339,2.07911366,1.84036062,2.72576363,2.31221224,2.73253718,2.51976205,4.18832901,4.77576129,3.95242714,0.79533562,0.62228943,0.75457617,0.26954793,0.57541456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_50,8.45620305,3.4498776,2.94000821,7.24843992,4.96671424,4.6805557,5.32103738,5.19438322,5.58810101,5.10798511,5.09107307,5.58436961,13.19804136,1.93976733,50.14978693,5.51260653,8.79257199,3.72283433,3.20720253,6.87100839,5.68493217,33.89353101,4.52252632,7.13569129,6.81620409,5.4251843,5.60978463,9.23123223,4.15910715,4.62504078,8.85837825,8.89002754,8.36790365,19.32261261,5.79792804,51.54068597,12.0399754,5.71378559,5.57276395,5.69788028,4.04854349,3.99478975,4.1780181,4.36490304,5.5631654,4.40624739,45.35652027,9.76400299,41.79595618,6.5633597,4.86747057,5.30579481,5.36580861,5.38358851,7.33497462,9.0686663,4.86398149,3.28599663,41.86089272,4.2096324,2.90947046,42.86166562,4.42334837,3.18915981,46.6928568,21.27266439,5.22231613,5.52433337,4.36546945,6.37476314,42.08859772,3.53897002,5.9945695,7.82632404,8.85880077,7.81063734,49.41097465,51.08894193,5.96103399,19.14901966,4.84488478,9.42616292,7.45297642,7.85193632,46.51984974,12.66517934,12.36841239,13.37035456,13.1077359,13.03566477,29.67610945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_49,49.96135671,36.02680396,19.43917478,44.55380896,43.82606309,43.14568062,43.40262412,46.87333607,41.85326564,40.0326188,36.88697281,40.24490306,5.224077,5.62612309,14.79811718,51.66733913,55.28092624,5.23137625,19.63477706,17.11567913,23.87617388,6.45253886,55.39067198,4.58726525,48.4512968,61.64020029,8.78760636,42.39207173,48.66680023,3.28004219,10.62608487,10.6714236,10.49962895,5.26755323,51.66431388,3.86854575,1.04156362,11.83387741,11.83200434,11.14703096,32.70013612,39.96624212,40.842577,29.06005115,31.34818345,30.31777123,20.88550241,38.51066847,44.06716595,46.1929854,11.56067657,46.41852212,46.41852212,46.41852212,46.49219398,52.40598285,39.99546021,41.79634307,7.15544062,3.82095598,44.27480323,43.78127244,2.91388429,53.70994629,2.97171072,5.20326595,8.0893172,19.98248939,29.13111938,41.29060149,5.73400482,4.76893218,44.71823024,4.60740147,6.41094155,46.24153444,2.83135893,2.23255538,3.22424285,3.44868422,2.44058375,3.05469871,5.18626988,4.37909635,42.79798865,0.5021787,0.3069615,0.35493652,0.59712384,0.23740689,0.49759441,31.37004961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_48,6.69813882,6.10453437,6.10453437,4.82011715,4.57863633,4.17890658,4.80229417,5.22025848,3.08909502,4.10736801,5.47468618,4.67340463,48.46805615,3.02051222,3.72173397,6.65652713,7.41956593,4.96053505,5.28468194,5.1465745,5.6221115,3.54582913,3.90453808,4.21061717,5.66092102,3.98768623,39.61758916,6.56223729,2.59970042,5.68066595,15.199694,15.60071589,14.56246577,49.47174715,3.45851962,55.8338452,33.76905642,4.21755371,3.82804719,3.47916712,4.47845839,3.41296129,3.45562618,4.5942195,3.38286666,5.07997237,4.10822906,3.54540179,39.92312915,4.53272288,4.21755371,2.78473243,3.07097394,2.92343414,4.43089347,3.98592215,4.35273424,5.51985219,42.86186093,44.81950434,5.42130333,3.46019143,44.78301937,5.08813014,41.75464845,1.94032101,3.74362027,4.56420718,2.87435932,4.02624932,51.19834026,47.95032445,4.22440384,4.63482574,4.75179516,3.3234129,34.33970642,33.64381421,47.74885472,46.7440525,47.07908467,8.87494203,4.49436695,8.93085517,4.52793394,47.81541797,48.29870562,47.76807177,47.33459165,47.27151604,48.55507149,7.28336653,45.12753054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_47,11.07514249,37.47834832,37.47834832,30.82442744,30.82442744,30.82442744,30.82442744,30.82442744,38.95712611,9.35619609,3.16828445,3.16828445,2.52627164,7.26542592,3.87837938,22.69751723,40.47645719,42.90054409,4.50217433,8.92868847,5.3784356,44.64442321,51.19621506,7.940883,25.22702242,6.71815469,15.74890258,10.88343326,2.731529,5.12232283,48.47828564,48.47828564,48.47828564,2.8685446,49.13564915,6.11427191,4.3894389,43.67111472,43.49855768,43.67111472,43.60968455,43.67111472,43.67111472,43.67111472,4.37163152,41.08716567,9.37161042,10.35577841,44.28712659,56.57922883,43.67111472,2.93281523,3.35337047,3.35337047,13.27214625,4.1162026,43.23117834,47.89411688,2.8809672,1.03794568,18.7250239,2.0164529,50.44039001,47.42898618,9.37161042,7.5907399,48.64580654,46.12715295,15.87092156,46.12715295,3.14581034,?,3.09318165,44.84804412,8.56567366,41.31754571,2.28159856,1.98943201,2.77955847,2.5133615,2.77955847,2.5133615,10.99700693,3.03014322,9.37161042,4.3782972,4.3782972,4.3782972,4.3782972,4.3782972,2.1648713,48.69098717,2.08985571,48.96217201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_46,3.94573376,2.31544925,2.66890818,2.4597391,3.62267706,3.62599177,3.28575799,2.93050617,3.43703762,2.76607841,1.93219651,1.9464045,3.88000175,3.09221921,6.12741568,8.52333594,51.20189452,3.66757322,14.45853034,5.33278142,6.69878557,0.80797463,3.07562777,3.78505889,5.12823621,6.89110172,6.08454143,8.93994378,1.61671064,3.98900895,9.16395454,9.16395454,9.16395454,8.9210611,2.16427277,9.19115631,8.29464086,2.61088905,2.48064085,2.5824119,2.809317,3.15935924,3.37893156,3.10657292,3.21729124,4.92137349,2.22552321,2.81355476,6.39573439,3.46839822,2.61088905,3.06065328,2.81486949,2.81486949,5.3166145,4.23765631,2.98417071,2.33049009,3.97492353,3.54035109,3.42228613,3.36086327,4.88037271,38.01331899,49.93265644,1.31482297,3.14007616,2.51061362,3.99753679,1.99347796,8.19024674,3.54868195,2.51239094,0.53442488,23.0950757,1.70321207,2.72932904,2.83090189,2.60080456,3.17235526,2.45563557,2.49077778,3.89511376,3.77486789,4.83354192,4.45308281,3.98989042,4.52761374,3.7405609,3.98989042,6.32511659,8.88046854,4.62788827,5.90912039,3.95922681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_45,6.13040224,1.99500277,2.34340846,2.60811308,3.59097957,3.5916309,3.31769643,3.01929491,3.46795403,3.90122418,2.11246746,2.11330955,4.12025376,40.51869892,4.95261832,7.14346994,6.7854669,3.08319897,3.23173801,4.81924456,4.15104808,0.64322591,2.36651556,3.91661849,7.16341253,5.431014,37.55665074,10.26680542,1.79345178,3.49733411,7.78506259,7.78506259,7.78506259,6.09639929,2.16427277,9.09164084,9.19091916,2.71750148,2.59218598,2.54718708,3.01506075,3.2522179,3.46001761,3.28250471,2.58484844,4.32363102,2.20671139,2.45368307,42.7955148,4.0744391,2.71750148,2.62101733,2.44010296,2.39240139,5.05268982,4.08585454,2.78058755,2.54896203,2.93549312,3.22237635,2.41407997,3.0619724,4.97991096,34.55468592,49.93265644,1.70305727,3.26989628,2.48082949,3.47787222,2.02904431,8.45065987,2.48311195,3.09227704,0.49504563,4.77814176,2.04485869,2.57381404,3.31198759,3.02781279,2.29417229,3.45378793,2.11776458,3.46525388,6.6469526,3.55223745,5.4773957,7.07889396,5.56367876,5.74603343,7.07889396,5.4657309,14.20687104,6.60949685,4.5936931,5.06619671,0.20170162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
