,Sequence_198,Sequence_197,Sequence_196,Sequence_195,Sequence_194,Sequence_193,Sequence_192,Sequence_191,Sequence_190,Sequence_189,Sequence_188,Sequence_187,Sequence_186,Sequence_185,Sequence_184,Sequence_183,Sequence_182,Sequence_181,Sequence_180,Sequence_179,Sequence_178,Sequence_177,Sequence_176,Sequence_175,Sequence_174,Sequence_173,Sequence_172,Sequence_171,Sequence_170,Sequence_169,Sequence_168,Sequence_167,Sequence_166,Sequence_165,Sequence_164,Sequence_163,Sequence_162,Sequence_161,Sequence_160,Sequence_159,Sequence_158,Sequence_157,Sequence_156,Sequence_155,Sequence_154,Sequence_153,Sequence_152,Sequence_151,Sequence_150,Sequence_149,Sequence_148,Sequence_147,Sequence_146,Sequence_145,Sequence_144,Sequence_143,Sequence_142,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_58,57.23894092,57.27413808,7.12708238,51.01161815,5.76305965,5.30587605,52.02652583,55.81752251,55.11346479,4.88579901,3.04703922,54.9876347,55.75939525,55.83844745,8.22361174,55.6467774,55.38682332,55.17285061,54.55282453,50.16660349,7.76024105,9.29406211,9.09473636,15.83636649,53.25861036,53.854686,16.31894576,18.68032677,55.65067151,54.77871417,54.72126966,54.44222401,54.72267304,56.60003376,51.12616807,52.14291052,18.80184393,6.16692075,51.50155298,56.02186493,56.14629932,52.81028861,3.80680349,4.92316771,4.70060255,52.7090389,52.00115502,52.3199214,53.16912151,52.72519133,53.38024251,53.38024251,53.43785386,38.5285489,56.02551603,55.78234658,8.20427123,9.8233954,56.26071382,50.03469029,5.97324435,5.80137811,52.81168235,6.53230952,46.43235847,46.78913525,53.45615982,52.59900411,9.82299907,52.89609229,49.6621194,50.46600096,9.97371272,13.29008466,10.35055897,53.23732255,53.71040394,53.63310823,51.59838857,9.85993707,10.33191244,51.97317066,11.65752551,7.07870045,48.77693922,48.82228991,49.94752913,50.63098551,50.00252094,50.00480206,55.06353278,52.88748859,8.21511526,51.17944939,54.20346669,54.07755399,52.90793373,44.39691295,14.62430728,55.18330236,55.0105908,51.41066452,55.00932238,53.76209908,11.84260401,11.76979424,4.77842882,51.33340873,8.0845031,54.92961245,6.3154987,7.22383681,50.91525756,53.30627486,52.22667129,46.86591485,5.74572721,9.98521315,10.89848712,4.10913513,4.16863276,5.03778367,4.92610936,50.59611631,7.61480455,11.85444083,53.91770957,12.20001489,6.82996214,15.76339484,6.28367338,9.66534324,6.86422161,16.48627961,51.51364201,19.17556337,16.82586716,52.14471212,48.47120261,7.60651308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_57,50.85752328,8.58769006,46.67858215,42.25476079,5.26097766,4.79490664,48.33421266,5.37347641,50.02423883,7.55381654,6.68392937,51.08658996,51.37469738,4.81279681,5.01788118,23.49120286,48.76018951,51.13274903,7.86359805,48.23636252,7.03049711,12.84110116,42.08269129,50.13170686,51.93153759,50.72058005,50.66827228,50.49439447,16.81365851,50.74924405,50.77412927,49.23092503,51.07509124,56.38116383,14.0908348,46.70878022,13.94079955,5.16844647,48.13370035,10.96578173,12.11882154,46.42895969,7.99081226,8.5092714,51.62869015,48.6717218,11.6422766,15.49197397,49.42057024,47.61045187,48.57639921,48.41830905,48.5190435,46.78415105,25.88034957,23.97676669,5.99044264,9.12586637,35.69894605,48.8865688,5.00345895,4.94069853,36.75513448,53.48614764,46.59528715,47.43167318,46.34852728,46.69255761,5.39332354,49.98046832,47.5130492,49.72772521,4.0360883,48.16853263,8.47421291,50.50985897,47.75793861,48.83002327,40.32467261,49.48753869,8.88851364,46.63745403,6.67601774,8.96924211,50.23339264,50.40194606,41.76195448,38.28973874,39.94614333,39.97317964,36.78894378,49.52867251,5.12087382,45.91500903,44.41183989,44.89437916,51.80094763,43.0729829,48.81333855,49.02124486,36.84977444,43.36420907,45.84550187,37.93862054,9.93336736,9.88281424,46.31624217,52.64102669,8.19977031,46.90020964,9.61149778,11.77001904,10.66190849,46.12062291,50.19919011,16.69748067,11.04126715,9.89262571,11.50850931,11.18400614,11.59305985,12.14847166,6.23376743,52.11966912,12.40089502,10.16226651,52.34258987,46.07295367,1.52623326,6.1249994,13.08924678,0.07169138,8.95411224,16.34388496,40.19818834,45.57305167,18.03033531,45.76102252,48.63984355,45.86698289,9.45635026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_56,6.43069919,5.12591473,43.16622789,42.29327354,5.41761578,4.38012734,1.81180286,4.22763457,43.69668985,6.02145019,5.61543097,46.52310759,49.33493853,8.42705761,5.34549433,4.49916187,43.60240526,48.07081422,7.60200704,44.55339716,17.21545911,52.02622782,4.37735489,50.04877491,47.97424179,48.40739078,48.95371537,49.1321323,8.457182,48.50528255,46.6907065,38.44596396,48.54844285,56.48430498,7.09651812,5.95066426,50.4821705,5.28798319,9.33436597,4.73394577,11.72033949,3.66760349,5.05293398,5.75587829,50.20358935,49.15969844,4.54458487,5.06570474,6.50602764,41.98843504,9.73540591,11.24967358,10.38696247,46.31005167,28.23104069,30.98120643,7.80386552,9.51179361,54.52785592,48.74073967,8.18510916,8.12441467,4.44346589,56.78424477,46.47724172,46.85685975,8.83289967,36.52685053,3.23010282,46.28860216,46.21836975,48.40300529,4.3690794,46.86358283,6.40848763,48.78344562,40.71855099,44.7885466,35.44936744,48.67020408,6.94096533,5.4003874,5.15600941,8.44591334,49.92003295,50.09242315,53.3723907,53.23755235,53.27085119,53.26496108,12.08664225,48.26562598,4.98561864,45.08205874,53.32539206,53.38985479,51.8770225,47.93952669,44.87044658,49.91452508,18.15245952,12.22361309,43.81681044,46.98639092,6.64855996,6.54108767,51.69024279,15.63023333,8.50208509,44.91727543,9.77810724,9.54608196,43.74879023,51.30527623,52.33070033,51.60085183,8.40833036,9.95141318,13.16172456,8.02399819,8.75946,8.36029309,7.03145441,16.98261557,10.58105495,12.48061294,55.04703933,49.55898107,1.24069553,5.84540188,12.05190866,0.60126266,9.49974394,50.74807917,50.68672824,52.46209336,50.77843207,51.93455448,45.74676044,43.56756777,10.56154928,0.56320565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_55,55.76245976,13.30029749,4.09682503,54.50834964,7.89335571,7.47447079,55.24840724,52.63799338,4.6459055,4.13540013,4.47799966,7.94122596,55.96827469,3.60390138,8.98304372,54.7225805,42.35360005,55.3675374,50.41646186,33.68975996,55.97992287,55.40990596,8.31730185,56.23213476,54.03202994,54.80966706,54.97559512,55.08780566,6.85327158,54.90047424,54.60287288,52.56523486,54.83972571,56.39618011,60.6310832,7.00127845,54.09241435,8.3703969,6.8731862,6.87753662,7.97961122,41.63763132,5.07510393,5.22182281,7.94202344,55.3049265,54.99834601,55.27441814,6.12352503,5.67958107,4.61620404,4.56092107,4.74870085,57.18704508,7.94201836,8.45917488,8.45674374,9.88671907,56.51561804,52.69833897,9.45066608,9.43430741,50.71410725,5.45098882,66.34659165,52.07185242,52.72446069,52.74819351,9.08988801,52.79611935,51.29875022,55.73990458,53.3481766,6.11928492,10.07691776,53.86789168,53.78952995,21.68266798,55.04904974,9.04680734,6.21522796,17.07736484,6.29998696,6.29681799,54.43855885,54.43511313,55.01322935,54.60094563,54.66232843,54.67747344,54.13925906,54.05817992,9.2741155,52.02642791,54.89722932,54.95130635,56.06074398,54.79767919,45.58063555,7.04628989,55.82522272,6.58765457,55.84913089,15.87197757,12.89747473,12.88974006,55.34356196,56.10959285,7.44720823,56.48714331,7.12226354,6.34576628,53.05972664,56.31109533,52.64786537,56.25899027,5.46330686,10.94011684,8.63855347,5.97472033,6.31559913,6.21568384,11.10255071,55.99408888,6.39349966,7.87304026,56.85401176,53.54701529,6.70646021,9.02294501,8.68226771,7.45478919,10.04491343,51.99262731,54.58829768,52.35001177,51.99960364,9.577159,52.79425109,6.36764905,7.49166578,7.59441275,7.60478553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_54,2.14445771,28.38589889,49.5001779,17.71981469,50.85406602,50.67788087,2.67675947,41.30688552,1.61625363,9.86678696,46.43360071,4.07138957,6.42503742,2.74987238,46.77622911,7.15953775,5.56376989,3.19226736,1.87345856,5.22643924,49.37543425,49.51360605,45.01820146,3.36223539,4.41520605,4.3808061,3.57500186,2.41411716,4.12679904,4.87610061,4.09695553,3.19823995,5.05323976,54.92980217,4.92794645,2.24263491,5.12714529,48.65853385,2.58690064,4.00454576,3.61683732,6.54135729,49.8533586,48.8790815,44.86590299,31.24057294,1.78947802,2.0955687,3.27182028,3.40899447,1.71701381,1.65411158,1.81728861,2.81678303,4.8943643,4.59298413,22.77125496,46.63562519,6.57632754,25.34231257,30.92842411,29.94390938,3.63846223,3.97290805,4.0497568,4.33418905,6.73809682,3.54643267,48.67925324,3.14514996,2.17667292,3.47466008,4.26063585,3.30104592,40.98651462,2.15766585,1.84623474,18.64061289,42.77210758,6.08036077,2.83758481,4.4841346,52.70949889,53.15641246,6.20945939,5.80843925,2.79184805,2.4682299,3.0933612,2.64811872,4.37002905,11.11332547,51.217519,5.65564219,2.72100836,2.873513,3.81148765,12.02210303,46.38476217,5.1980986,4.13407857,3.24204415,48.06121926,6.07898344,12.92830614,12.92341328,3.50285905,6.95124985,50.78504304,47.23838894,43.37841098,50.79003786,37.5550203,10.28142734,7.61879825,3.83384833,44.29152221,48.95273339,45.4688903,48.61467455,48.47303391,48.29231534,48.87848462,5.74776848,45.10119593,46.34283128,3.76590668,8.93388386,48.86516666,52.66712547,51.84326964,48.5410768,43.20919969,8.47262596,44.42694629,37.65100726,8.74730928,49.95476189,6.93627723,5.49127459,49.54308021,48.80447759,9.34401328,51.36958897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_53,4.62067227,54.10348992,48.05353858,2.50606847,50.40039952,49.35126877,15.24636124,5.21892142,4.81901491,50.51311762,49.51834947,5.0274103,3.08333331,9.04419737,44.85536517,43.06470472,2.95080532,4.74617485,4.77591222,40.27400267,48.65752181,49.54617407,45.26180905,14.13885662,45.12660441,46.60433624,47.91977782,41.36526144,52.11215006,46.47893244,43.84824361,43.75194256,45.78220883,55.26339071,48.28707692,44.73090391,48.05052542,49.63976,41.56861842,51.78064791,8.90322648,19.69110583,50.32618093,51.01477051,49.45743366,43.83945438,13.04591335,26.94194857,41.34015909,24.56832492,42.31702091,42.31702091,42.66614808,41.25796511,50.50407264,5.890334,46.01020613,44.21387252,50.86579508,8.05648792,46.76713265,46.53599471,4.14843078,54.82302258,9.09962807,37.86500702,24.94302233,42.58902859,51.34801977,29.63181809,36.74926399,42.63592648,4.95494334,3.74800193,46.36258539,2.9016734,4.32266143,11.63534332,7.34291862,45.67841385,18.72964429,5.45610429,51.97143299,34.95039118,4.54485092,3.97020201,4.26379814,4.56555492,5.72807344,4.4606978,50.62760204,3.89224503,50.87868346,11.08978635,5.28216372,5.50895879,34.58537792,43.35954555,46.74363405,47.33630632,5.82794645,16.87530148,10.31932725,40.72013062,42.16354478,42.09676597,47.69269502,31.94908329,18.7141137,4.9311769,6.90071101,6.20174872,46.89530589,6.81616082,45.37374424,10.96488137,7.45949069,19.88365001,9.27419766,8.86419952,7.92226639,8.58546048,47.38250271,15.45783455,5.26773905,33.14214373,32.8952426,48.15224704,45.52915783,49.34760745,11.37191586,49.06629301,48.03098698,40.69537548,4.05805815,7.71096722,40.5013073,4.40749298,1.30996385,7.50733013,50.12080144,48.88250259,50.34584453,54.45015577,5.59796913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_52,7.29572221,34.53041256,47.32350074,1.78021579,49.97283257,50.13679391,2.25122754,44.81395355,6.28980219,43.97107026,48.07165157,3.85460137,3.91926808,5.30738319,47.95933114,45.72110308,3.20159132,11.18438712,10.43738016,31.93180665,46.07342161,5.91111357,48.22333869,1.3553213,5.43664812,2.75121408,4.55271926,4.29596059,53.35150851,4.41572866,4.24240889,3.62364682,4.07704619,54.73365368,3.33121068,7.9486229,3.77306125,47.65128583,2.76681837,57.30411752,53.3210279,4.70015323,49.29742089,48.21030607,8.32619777,28.08050315,5.23024026,5.93041974,2.75501674,3.12835016,4.41864637,4.77626255,4.6656787,3.64760479,51.96012043,52.10004333,54.10960079,49.1249577,52.34371815,3.42666852,53.73333022,53.70971226,26.13663149,56.43087861,3.09292416,7.09294949,14.78208362,42.29163899,52.89219619,7.93398939,2.83719366,3.9100412,33.2184318,2.36084948,45.52734713,4.29161839,3.824572,12.87064315,50.59666187,19.80221933,37.26154293,11.7367697,50.42243284,52.77843795,3.76080092,3.50538221,7.48222363,4.86623185,50.48504272,5.78176588,7.26326333,38.06388355,51.87219108,3.93739112,51.58086163,51.44781858,6.07281707,18.28952728,5.3393797,53.86587616,50.9255825,6.05129402,51.00605586,48.09894179,50.94269673,50.9364646,6.29496206,47.18527784,52.2783665,4.78067633,45.0120248,50.54866038,4.98480345,49.07836274,44.04140367,6.22152277,46.26308505,48.94388883,11.93345561,49.00608433,48.94497262,47.74513586,43.53428894,6.12106442,48.21205632,28.91947291,6.47180956,7.30817143,45.01608725,51.73707942,52.06935853,44.20147711,33.58281433,4.24622823,42.67173859,4.64233898,4.26401718,8.53171647,40.6538712,6.65665427,31.34800979,45.27268407,46.50529178,51.8131787,6.58738768,41.69807148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_51,46.2116955,50.0969891,51.47843698,45.94741148,8.18207832,7.88713587,25.43787294,45.64322145,3.69886223,2.87432379,2.77794893,50.28025099,50.2423357,44.53258747,5.12960489,9.39952574,47.40139281,46.33606023,50.99529414,6.47770052,38.33543241,3.9692804,50.4253379,42.48423738,49.49064907,50.35450611,48.9703529,49.16362848,14.30503002,51.5078782,49.46170762,48.74131375,51.23021,47.7328801,49.74381179,5.18850839,10.14160499,8.19354112,8.62218798,13.63287954,13.80946686,45.16369421,4.14451082,5.16868218,50.52475422,4.26474917,39.95169167,46.74892147,48.79514701,46.03832331,4.26979902,4.26979902,4.42459669,6.78112972,15.82922312,16.61201701,4.81354897,5.27448459,54.73409568,45.60513548,4.11675422,3.99238681,43.48001216,53.3174715,43.94275144,13.3972319,47.57361758,47.76797093,9.04737088,48.49685128,10.14870879,47.19276479,44.40269105,45.99425051,5.74496327,41.70954743,47.69365612,7.38597608,50.57783537,50.7112514,8.50099599,11.36264055,7.6577636,10.48267698,48.92453523,48.96706236,53.42315321,53.02168208,53.28577921,53.43349146,51.93285812,49.69142158,6.55395432,48.85994301,5.71080635,4.93963688,47.26674781,7.20124378,47.35393679,15.48964907,52.44779709,47.05083929,51.92482493,7.6503177,5.78363434,5.59094103,53.09362061,51.88830038,5.20404608,51.94720487,5.91844575,11.24963377,40.06428293,51.39616399,11.0101954,52.72782414,11.74980175,6.01999671,4.81937193,9.95534406,7.5322959,11.12372765,9.00845728,51.26921578,9.08559299,6.39792482,53.89697664,50.56295671,8.69164124,6.07985278,5.98620929,7.61532015,8.11240263,8.1759223,34.17507359,6.27849048,8.05432326,49.0185698,46.33983372,48.32638811,8.38825472,6.32214817,8.70139997,7.70309897,46.62302914,43.10798749,42.07421082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_50,8.42125583,51.9817866,7.38412444,47.11421492,7.49263932,7.12446542,42.97967153,35.39894013,7.39309145,5.17245548,2.27695347,48.01550503,45.52201095,7.69911572,6.48063183,8.68767416,45.93688714,41.73899487,47.70608995,7.1888798,45.64324951,50.71516585,6.28604997,49.6403588,47.37429729,5.35369458,6.20159089,7.0543682,19.09198091,5.30637597,10.26416203,41.40851925,5.81452817,6.70291204,5.48115455,40.97725195,6.61425897,7.72462458,4.94619126,18.5676963,10.19662069,47.24714824,4.50990295,5.40716663,7.0339626,6.06470012,13.39824425,37.58960679,45.27571722,6.73834876,5.58370251,5.07271073,4.93590024,6.33205599,21.88029824,28.1873831,5.92496164,3.97033677,53.75335146,48.91034192,7.71933626,7.6383863,47.66028957,53.10786766,46.38617578,48.18853347,9.3930276,7.11460508,8.49936451,45.69871638,45.2883275,7.88686565,6.1823239,49.17455389,5.07836081,49.25269979,45.70978562,45.26221236,7.55548848,18.67206738,5.41963154,8.75659441,6.63466769,10.57606859,49.4601812,49.47501991,53.6299577,53.87365097,53.51311246,53.66981654,8.16942094,46.2753397,4.25759201,44.40326787,53.95666297,54.09791931,52.8367915,4.95909037,12.43792826,51.05515861,47.25950669,13.91899634,48.23589869,7.65509775,4.94392563,4.89597081,54.72244182,47.73507196,4.54031748,48.63809896,5.42204832,5.30288151,8.12545944,50.2747131,5.24011917,53.3710476,5.13976592,6.05261805,7.12734367,4.61640109,4.74091078,4.10783591,11.24642095,46.19854551,6.0465815,5.93462677,54.46334882,50.05247405,7.39808636,9.56829746,3.03212713,7.97297302,4.86210095,48.8169431,47.47167124,49.80057402,48.85217278,51.25386287,12.60841749,48.81247229,4.92830497,9.04366172,9.26868867,10.49424639,47.11547371,10.61060805,46.17671709,6.10494864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_49,49.4949224,52.26583497,51.82867265,48.9882937,52.47765044,51.73819056,47.08467553,49.8578589,46.61512641,1.41125774,1.89014604,47.90512222,46.4487359,9.73214189,49.6037404,5.79999701,42.87279526,46.88660423,4.42071613,4.28808671,48.40289199,27.49499376,49.70849588,46.48703612,47.76220645,47.45162861,48.460908,7.26899289,11.89452273,48.08564059,46.47903692,46.0814063,47.75835019,55.40494513,46.07182844,3.07023672,42.88286398,49.74532009,6.2948199,10.09994279,10.02950575,12.49411287,2.33524471,2.94190924,6.02956561,47.56217644,5.44727772,6.05395493,3.65817411,3.74931949,3.33891269,3.42645885,3.44223126,46.38618994,12.59208656,12.47471005,11.7467042,47.59929986,6.9886956,45.86419252,11.88058678,11.74162992,5.25340692,5.86644063,41.53124784,9.73626215,6.84125794,41.6995547,5.32192098,4.96282778,3.57533011,6.53009443,44.65352704,2.72404108,9.95625882,7.88271689,6.18577641,6.89870355,48.82080298,4.75756354,49.15048327,4.15053462,53.28223731,52.73348401,40.12892324,40.38586338,46.7655411,44.15624686,46.75954822,46.78243484,52.49081648,45.5241218,52.43854233,46.48238052,49.16666341,49.21970455,51.70991796,44.79945397,49.45119284,9.49243304,51.46090313,49.49033579,51.53611797,48.61555339,41.94635557,41.98331626,4.79024913,15.74952586,51.95169782,51.40353147,43.78149822,49.98669233,5.68733386,49.46459778,47.03085953,45.98186162,46.02273219,49.68312653,44.16277247,48.16154133,47.81917292,48.11686938,9.66678554,25.13123987,26.09517927,46.41802139,51.84989509,49.92096178,48.35189652,11.16968558,22.57074975,47.86915624,43.46118592,17.71412352,46.43584965,29.21361816,19.27175703,44.99819385,41.74196923,6.7772237,8.02475592,46.3713625,49.74850493,7.40426234,2.97360304,45.4994404,33.77542286,6.97385892,47.68034468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_48,49.4949224,52.26583497,51.82867265,48.9882937,52.47765044,51.73819056,47.08467553,49.8578589,46.61512641,1.41125774,1.89014604,47.90512222,46.4487359,9.73214189,49.6037404,5.79999701,42.87279526,46.88660423,4.42071613,4.28808671,48.40289199,27.49499376,49.70849588,46.48703612,47.76220645,47.45162861,48.460908,7.26899289,11.89452273,48.08564059,46.47903692,46.0814063,47.75835019,55.40494513,46.07182844,3.07023672,42.88286398,49.74532009,6.2948199,10.09994279,10.02950575,12.49411287,2.33524471,2.94190924,6.02956561,47.56217644,5.44727772,6.05395493,3.65817411,3.74931949,3.33891269,3.42645885,3.44223126,46.38618994,12.59208656,12.47471005,11.7467042,47.59929986,6.9886956,45.86419252,11.88058678,11.74162992,5.25340692,5.86644063,41.53124784,9.73626215,6.84125794,41.6995547,5.32192098,4.96282778,3.57533011,6.53009443,44.65352704,2.72404108,9.95625882,7.88271689,6.18577641,6.89870355,48.82080298,4.75756354,49.15048327,4.15053462,53.28223731,52.73348401,40.12892324,40.38586338,46.7655411,44.15624686,46.75954822,46.78243484,52.49081648,45.5241218,52.43854233,46.48238052,49.16666341,49.21970455,51.70991796,44.80583943,49.45119284,9.49243304,51.46090313,49.49033579,51.53611797,48.61555339,42.59136469,42.62267914,4.84607207,17.56070675,51.70432703,51.40353147,44.09607311,50.095434,6.18949192,49.4665132,47.22415762,45.98186162,46.28439696,49.90068455,45.29300126,48.42272163,48.06860336,48.43386016,9.76189957,26.97815365,33.15689028,46.69979035,51.3276348,49.46642962,48.73223,11.47223588,23.34588219,48.48171972,44.25058316,19.0491172,46.9438352,29.38002943,21.00759497,45.11716236,43.19652893,32.90936845,8.5707253,47.21265882,50.16984338,8.12272088,2.81869167,10.56913403,35.52966719,6.7939742,47.75960717,0.12469332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_47,46.92188045,56.68729846,1.78142404,50.59926851,7.78678852,8.26662578,48.04736142,49.70093739,36.28511824,5.72856557,5.32096001,44.02643094,48.05185499,51.0434678,2.28065197,22.73081993,44.55889458,43.48511508,51.03506318,14.90239256,51.59294409,6.32058032,5.19464738,48.36145924,43.06030655,8.0998943,10.61371028,10.14350695,6.51414466,9.68889433,35.59838828,45.19955428,9.61170866,56.91165939,8.68293332,11.20830067,13.02657545,8.26035053,43.38769322,7.81578763,8.13223479,46.50380037,6.70722399,7.5581483,17.69789273,51.15716891,51.47032837,50.44729972,51.75521972,53.18535902,7.77065006,6.48967659,6.80387361,51.9281876,7.41846018,7.33015431,6.98185029,9.28857729,4.5725994,47.81224384,7.53722101,7.51115531,47.05761247,55.74341646,53.55797353,45.40534523,6.29319164,50.93410658,10.24635408,48.5605327,32.31691248,11.30624238,13.04581654,53.52536271,7.34352104,51.47878852,49.16187941,18.2816925,6.78933945,51.52903802,9.47932666,7.5416997,6.44672173,6.04993389,50.97231971,50.98511849,53.07852496,53.17430649,52.76697251,52.92454705,49.16351959,51.60151703,9.39157728,52.4463717,51.73610449,51.82632337,54.24462805,51.46409655,45.55814838,8.2335746,50.09165182,11.93587037,49.16963632,50.47677407,11.40301387,11.39262877,55.25976341,52.82349196,5.10059116,49.29380453,5.64866086,7.70006567,10.08312746,54.18473247,11.50055633,52.77835789,4.64237634,11.37678603,12.47222906,6.84546459,7.06311908,7.1838348,8.62164669,52.84765645,7.25170714,10.27054276,53.11531963,45.91005247,8.86636209,12.31322287,8.145241,11.04913761,8.8472438,50.51340273,52.0288728,49.58439645,50.66560976,52.69002458,48.94381898,5.40385519,6.53829757,11.31717076,13.61134615,5.75863791,45.62222601,50.78881576,50.47472587,11.83946577,8.32027656,19.60037899,17.82721829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_46,4.48108934,56.32910009,46.61944487,11.30388388,3.76537693,3.46407564,47.61350101,51.84073869,2.76072183,5.41650313,4.93499524,42.65642345,2.7192691,52.64250225,6.9879167,5.86848082,41.13570451,45.7500858,49.96480724,18.44856374,3.03247479,5.40627516,4.41692487,2.68506054,6.1293028,44.20848568,27.89872643,30.82466106,8.35834982,39.99636961,45.30758536,45.71112125,36.95375659,5.44771673,47.91859219,4.82850727,44.83197178,4.83199035,49.31080106,6.485801,8.61828197,6.4187172,4.54534648,5.72167464,2.71872649,6.24488198,44.60836,43.47848431,50.712682,50.67870537,5.30836774,5.59448716,5.52378756,50.33648707,5.86656854,7.50064455,17.91709768,3.54614964,6.63112099,47.29919166,21.60952435,21.37162744,48.73892601,9.59351091,50.51057871,47.17858246,50.2378237,50.93343316,7.93599879,49.1178719,48.2219866,49.25255573,38.62597336,51.21282382,6.42386102,47.66993587,48.94983342,7.20547897,7.53373229,50.93824747,4.5315067,7.63469684,6.23074544,9.70554058,44.9509526,45.00876098,16.51044672,15.20339334,16.64028715,16.58213437,51.53252082,16.63526042,6.70851426,49.87485637,15.61831483,15.08728297,53.73169784,49.09938611,6.97762252,11.64555333,51.58157271,9.76504309,50.25589709,50.83496229,6.15150605,5.98194878,12.20318725,52.4652265,4.89498524,51.34921985,8.02002187,8.09833932,45.8944136,49.11488744,48.02089283,20.65118744,7.61965395,11.27678556,12.35405059,3.57216659,3.06037435,5.08934519,4.29728551,52.13932425,7.46323774,8.66055397,28.72656581,8.1507993,11.36765207,6.40759776,6.33303677,15.92012789,9.6430174,46.89537826,41.67821094,47.75572362,46.94619847,52.5392719,44.92019634,50.27371703,10.65132049,15.06671594,11.8877897,6.67854218,48.12216019,48.40394148,50.16332365,6.3961314,15.67826908,11.4617293,11.9656511,5.21485753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
